Entry	Identifier	OmekaURL	Entry_Clean_Recon	Wikidata	TextInBrackets	Location_in_index	EntriesID	EntriesIdentifier	SeeAlso	File	Comment	Column 1
Bund deutsch-jüdischer Jugend	QGJ.v1.Org.01589	https://undusting.org/jewish_sources/s/jewish_sources/item/17926	Bund deutsch-jüdischer Jugend				4560	QGJ.v1.A0213.I0695.E04637		organizations		Bund deutsch-jüdischer Jugend 4560
Bund proletarisch-revolutionärer Schriftsteller	QGJ.v1.Org.01590	https://undusting.org/jewish_sources/s/jewish_sources/item/17927	Bund proletarisch-revolutionärer Schriftsteller				1912	QGJ.v1.A0103.I0316.E01966		organizations		Bund proletarisch-revolutionärer Schriftsteller 1912
Carl-Hauptmann-Gesellschaft	QGJ.v1.Org.01591	https://undusting.org/jewish_sources/s/jewish_sources/item/17928	Carl-Hauptmann-Gesellschaft				2107	QGJ.v1.A0108.I0332.E02161		organizations		Carl-Hauptmann-Gesellschaft 2107
Carl-Zeiss-Werke Jena (Carl Zeiss Jena GmbH)	QGJ.v1.Org.01592	https://undusting.org/jewish_sources/s/jewish_sources/item/17929	Carl-Zeiss-Werke Jena (Carl Zeiss Jena GmbH)				5323|7973|7974|7975|7976|7977|7978|7979|7980|7981|7982|7983|7984|7985|7986	QGJ.v1.A0235.I0788.E05400|QGJ.v1.A0287.I0968.E08067|QGJ.v1.A0287.I0968.E08068|QGJ.v1.A0287.I0968.E08069|QGJ.v1.A0287.I0968.E08070|QGJ.v1.A0287.I0968.E08071|QGJ.v1.A0287.I0968.E08072|QGJ.v1.A0287.I0968.E08073|QGJ.v1.A0287.I0968.E08074|QGJ.v1.A0287.I0968.E08075|QGJ.v1.A0287.I0968.E08076|QGJ.v1.A0287.I0968.E08077|QGJ.v1.A0287.I0968.E08078|QGJ.v1.A0287.I0968.E08079|QGJ.v1.A0287.I0968.E08080		organizations		Carl-Zeiss-Werke Jena (Carl Zeiss Jena GmbH) 5323, 7973-7986
Central Archives for the History of the Jewish People, Jerusalem	QGJ.v1.Org.01593	https://undusting.org/jewish_sources/s/jewish_sources/item/17930	Central Archives for the History of the Jewish People, Jerusalem				1/2|3/14	QGJ.v1.A0000.E00002|QGJ.v1.A0002.E00024		organizations		Central Archives for the History of the Jewish People, Jerusalem 1/2,3/14
Central-Verein deutscher Staatsbürger jüdischen Glaubens	QGJ.v1.Org.01594	https://undusting.org/jewish_sources/s/jewish_sources/item/17931	Central-Verein deutscher Staatsbürger jüdischen Glaubens				1/6|162/2|1378|1876|2004|2008|2495|2984/3|4392|4475|4487	QGJ.v1.A0000.E00006|QGJ.v1.A0006.I0053.E00189|QGJ.v1.A0064.I0200.E01426|QGJ.v1.A0101.I0313.E01931|QGJ.v1.A0107.I0327.E02058|QGJ.v1.A0107.I0327.E02062|QGJ.v1.A0140.I0411.E02562|QGJ.v1.A0173.I0540.E03057|QGJ.v1.A0200.I0656.E04469|QGJ.v1.A0207.I0670.E04552|QGJ.v1.A0207.I0673.E04564		organizations		Central-Verein deutscher Staatsbürger jüdischen Glaubens 1/6,162/2,1378,1876,2004,2008,2495,2984/3, 4392,4475,4487
"Stiftung „Neue Synagoge -Centrum Judaicum""Charité, Berlin"	QGJ.v1.Org.01595	https://undusting.org/jewish_sources/s/jewish_sources/item/17932	"Stiftung „Neue Synagoge -Centrum Judaicum""Charité, Berlin"				1801|1802|1803|1804|1805|1806	QGJ.v1.A0100.I0298.E01857|QGJ.v1.A0100.I0298.E01858|QGJ.v1.A0100.I0298.E01859|QGJ.v1.A0100.I0298.E01860|QGJ.v1.A0100.I0296.E01853|QGJ.v1.A0100.I0296.E01854	Centrum Judaicum	organizations		"Stiftung „Neue Synagoge -Centrum Judaicum""Charité, Berlin 1801-1806"
Chewra Kadischa:	QGJ.v1.Org.01596	https://undusting.org/jewish_sources/s/jewish_sources/item/17933	Chewra Kadischa:							organizations		Chewra Kadischa:
Chewra Kadischa|Forst	QGJ.v1.Org.01597	https://undusting.org/jewish_sources/s/jewish_sources/item/17934	Chewra Kadischa|Forst				1377	QGJ.v1.A0064.I0200.E01425		organizations		- Forst 13 77
Chewra Kadischa|Gera	QGJ.v1.Org.01598	https://undusting.org/jewish_sources/s/jewish_sources/item/17935	Chewra Kadischa|Gera				7361	QGJ.v1.A0255.I0891.E07454		organizations		- Gera 7361
Chewra Kadischa|Mecklenburg-Schwerin	QGJ.v1.Org.01599	https://undusting.org/jewish_sources/s/jewish_sources/item/17936	Chewra Kadischa|Mecklenburg-Schwerin				162/5	QGJ.v1.A0006.I0053.E00192		organizations		- Mecklenburg-Schwerin 162/5
Chewra Kadischa|Mecklenburg-Strelitz	QGJ.v1.Org.01600	https://undusting.org/jewish_sources/s/jewish_sources/item/17937	Chewra Kadischa|Mecklenburg-Strelitz				162/6	QGJ.v1.A0006.I0053.E00193		organizations		- Mecklenburg-Strelitz 162/6
Chewra Kadischa|Neubrandenburg	QGJ.v1.Org.01601	https://undusting.org/jewish_sources/s/jewish_sources/item/17938	Chewra Kadischa|Neubrandenburg				162/6	QGJ.v1.A0006.I0053.E00193		organizations		- Neubrandenburg 162/6
Chewra Kadischa|Plauen	QGJ.v1.Org.01602	https://undusting.org/jewish_sources/s/jewish_sources/item/17939	Chewra Kadischa|Plauen				4487	QGJ.v1.A0207.I0673.E04564		organizations		- Plauen 4487
Christliche Volkspartei	QGJ.v1.Org.01603	https://undusting.org/jewish_sources/s/jewish_sources/item/17940	Christliche Volkspartei				2003	QGJ.v1.A0107.I0327.E02057		organizations		Christliche Volkspartei 2003
Claims Conference	QGJ.v1.Org.01604	https://undusting.org/jewish_sources/s/jewish_sources/item/17941	Claims Conference						Conference on Jewish MaterialClaims against Germany Inc.	organizations		Claims Conference
